id,p_choices_ca,prediction_ca,p_choices_cm,prediction_cm,message,cost
0,1,1,1,1,2,10
0,1,1,1,2,2,30
0,2,2,2,2,2,50
0,2,2,2,2,2,70
0,2,2,2,2,2,90
0,2,2,2,2,2,110
0,2,2,2,2,2,130
0,2,2,2,2,2,150
0,2,2,2,2,2,170
0,2,2,2,2,2,190
1,1,1,1,2,2,10
1,1,1,2,1,1,30
1,1,1,2,1,1,50
1,1,1,2,2,2,70
1,2,2,2,2,2,90
1,2,2,2,2,2,110
1,2,2,2,2,2,130
1,2,2,2,2,2,150
1,2,1,2,2,2,170
1,2,2,2,2,2,190
2,1,1,1,1,1,10
2,1,1,1,1,1,30
2,1,1,1,1,1,50
2,1,1,2,1,1,70
2,1,1,2,1,2,90
2,1,1,2,1,2,110
2,1,1,2,1,2,130
2,2,2,2,2,2,150
2,2,2,2,2,2,170
2,2,2,2,2,2,190
3,1,1,1,1,1,10
3,1,1,1,1,1,30
3,1,1,1,1,1,50
3,1,1,1,1,1,70
3,1,1,1,1,1,90
3,2,2,2,1,2,110
3,2,2,2,1,2,130
3,2,2,2,2,2,150
3,2,2,2,2,2,170
3,2,2,2,2,2,190
4,1,1,1,1,1,10
4,1,1,1,1,1,30
4,1,1,1,1,1,50
4,1,1,1,1,2,70
4,1,1,2,1,2,90
4,2,1,2,2,2,110
4,2,2,2,2,2,130
4,2,2,2,2,2,150
4,2,2,2,2,2,170
4,2,2,2,2,2,190
5,1,1,1,1,1,10
5,1,1,1,1,1,30
5,1,1,2,1,1,50
5,1,1,2,1,2,70
5,1,1,2,1,2,90
5,1,1,2,1,2,110
5,1,1,2,1,2,130
5,2,2,2,2,2,150
5,2,2,2,2,2,170
5,2,2,2,2,2,190
6,1,1,1,1,1,10
6,1,1,2,1,1,30
6,1,1,2,2,1,50
6,1,1,2,1,2,70
6,1,1,2,1,2,90
6,1,1,2,1,2,110
6,1,1,2,1,2,130
6,2,2,2,1,2,150
6,2,2,2,1,2,170
6,2,2,2,2,2,190
7,1,1,1,1,1,10
7,1,1,1,1,2,30
7,1,1,1,1,2,50
7,1,1,1,1,2,70
7,1,1,1,1,2,90
7,1,1,2,1,2,110
7,2,1,2,1,2,130
7,2,2,2,2,2,150
7,2,2,2,2,2,170
7,2,2,2,2,2,190
8,1,1,1,1,1,10
8,1,1,1,1,1,30
8,1,1,1,1,1,50
8,1,1,1,1,1,70
8,1,1,2,1,1,90
8,1,1,2,1,2,110
8,1,1,2,1,2,130
8,2,1,2,2,2,150
8,2,2,2,2,2,170
8,2,2,2,2,2,190
9,1,1,1,2,2,10
9,1,1,1,1,2,30
9,1,1,2,1,2,50
9,1,1,2,1,2,70
9,1,1,2,1,2,90
9,1,1,2,1,2,110
9,1,1,2,1,2,130
9,2,2,2,2,2,150
9,2,2,2,2,2,170
9,2,2,2,2,2,190
10,1,1,1,1,2,10
10,1,1,1,1,2,30
10,1,1,1,1,2,50
10,1,1,2,1,2,70
10,1,1,2,1,2,90
10,1,1,2,1,2,110
10,2,2,2,1,2,130
10,2,2,2,2,2,150
10,2,2,2,2,2,170
10,2,2,2,2,2,190
11,1,2,2,1,2,10
11,1,1,2,1,1,30
11,1,1,2,1,1,50
11,1,1,2,2,2,70
11,1,1,2,1,1,90
11,2,2,2,1,1,110
11,2,2,2,1,2,130
11,2,2,2,2,2,150
11,2,2,2,2,2,170
11,2,2,2,2,2,190
13,1,1,1,1,1,10
13,1,1,1,1,1,30
13,1,1,1,1,1,50
13,1,1,2,1,2,70
13,1,1,2,1,1,90
13,1,1,2,1,2,110
13,1,1,2,1,2,130
13,2,2,2,1,2,150
13,2,2,2,2,2,170
13,2,2,2,2,2,190
14,2,2,2,2,2,10
14,2,2,2,1,2,30
14,2,2,2,2,2,50
14,2,2,2,2,2,70
14,2,2,2,2,2,90
14,2,2,2,2,2,110
14,2,2,2,2,2,130
14,2,2,2,2,2,150
14,2,2,2,2,2,170
14,2,2,2,2,2,190
15,1,1,1,1,1,10
15,1,1,1,1,1,30
15,1,1,1,1,2,50
15,1,1,2,1,2,70
15,1,1,2,1,1,90
15,1,1,2,1,1,110
15,1,1,2,1,1,130
15,2,2,2,2,2,150
15,2,2,2,2,2,170
15,2,2,2,2,2,190
16,1,1,1,1,2,10
16,1,1,1,1,1,30
16,1,1,1,1,1,50
16,1,1,1,2,2,70
16,1,2,1,2,2,90
16,1,1,2,1,2,110
16,1,1,2,2,2,130
16,2,2,2,2,2,150
16,2,2,2,2,2,170
16,2,2,2,2,2,190
17,1,1,1,1,1,10
17,1,1,1,1,2,30
17,1,1,1,1,2,50
17,1,1,1,1,2,70
17,1,1,1,1,2,90
17,1,1,2,2,2,110
17,1,1,2,2,2,130
17,2,2,2,2,2,150
17,2,2,2,2,2,170
17,2,2,2,2,2,190
18,2,2,2,1,2,10
18,2,2,2,1,2,30
18,2,2,2,1,2,50
18,2,2,2,2,2,70
18,2,2,2,2,2,90
18,2,2,2,2,2,110
18,2,2,2,2,2,130
18,2,2,2,2,2,150
18,2,2,2,2,2,170
18,2,2,2,2,2,190
20,1,1,1,1,2,10
20,1,1,1,1,2,30
20,1,1,1,1,2,50
20,1,1,2,2,2,70
20,1,1,2,2,2,90
20,1,1,2,2,2,110
20,1,1,2,2,2,130
20,2,2,2,2,2,150
20,2,2,2,2,2,170
20,2,2,2,2,2,190
21,1,1,2,2,2,10
21,1,1,2,2,2,30
21,1,1,2,2,2,50
21,2,2,2,2,2,70
21,2,2,2,2,2,90
21,2,2,2,2,2,110
21,2,2,2,2,2,130
21,2,2,2,2,2,150
21,2,2,2,2,2,170
21,2,2,2,2,2,190
